NSA,-13.597761236952932,-13.321072232979613,-12.959199317804677,-13.044122875339896,-13.228975071065202,-12.873371159839344,-13.58427594000596,-13.379984534365574,-13.100923040654985,-13.447464727603188,-12.609631697373835,-13.169346563385925,-13.54443397888205,-12.925012630790608,-12.15842980892977,-11.78369909582049,-12.595578164792634,-12.114962855042325,-12.586267493351158,-12.043586262818673,-12.517571594603814,-12.604451741105388,-12.392901419489478,-13.052387633658558,-12.22130967516515,-12.53819898457819,-13.49303003506379,-12.852152171700979,-13.288086512592301,-12.717008603444976,-13.46019625781741,-12.848656068122754,-13.13273078938349,-12.956069922336082,-13.758031430938091,-13.382007466576384,-13.214424546830948,-13.29431567741241,-13.511462548460543,-13.227798323782224,-13.341514493319654,-13.546844948259478,-13.371918661738704,-13.545309636158857,-13.371861507993035,-13.263493872562151,-13.096425880048157,-13.060044759148127,-13.765509340344765,-13.148681481701427,-13.575355263093295,-13.316427031213971,-13.537092577861221,-13.5089044781132,-13.096208362764369,-12.96978745375343,-13.156726845582659,-12.632381975682724,-13.41167003401524,-12.83454576864384,-13.5644467535854,-13.827344236048187,-13.857071136566134,-13.405115242901914,-13.082830706331404,-13.398735743734608,-13.566385751383608,-13.053487435082959,-13.313179926456579,-12.52218197919536,-12.718070863153558,-12.295720322529085,-12.662811293159265,-13.008489579924866,-13.167517636227645,-12.810434418740526,-13.348286535395404,-13.480591705777796,-13.594100204073024,-13.46310881760154,-13.613330641176383,-13.551534543258883,-13.516517568393738,-12.41434309234257,-12.875546677882955,-12.56026151484301,-12.513627679295231,-13.709075847639818,-13.462566908015239,-13.793754620962217,-13.368231615725577,-12.848668341370255,-13.226277272353371,-13.306292488077538,-13.595812732008973,-12.983616337320099,-13.12042669407703
Deviation,2.9151802368875006,2.8901288252857107,3.129097694051987,3.1828103152747436,2.9311908385276895,3.38341592048312,2.6428440068472425,2.874667695339612,3.173404443419946,2.6600122566663438,3.754004875535464,2.853299316131194,3.1563345682470936,4.8012966374953026,3.4017724766750317,3.9010932949761337,3.330683185118669,3.3168404122575788,3.2703475787819567,3.419327184669105,3.542823559103456,4.441734487931363,3.5173454178945205,3.1991981983898157,3.4980014307790315,3.516445257224239,4.160234485330409,3.3964010952149986,2.6133458661252025,4.518519988383534,2.820784342115194,3.3682617937654107,6.699090382385036,3.7193642715632294,3.374634147772336,3.252154469573636,3.1262033452438587,3.4695244330729773,2.90580115984688,2.985113509426234,3.5396786748484743,3.101026402123478,3.215117977902259,2.743788455728414,2.793206434995738,2.811066870512181,2.8666571809138257,3.0266794082702457,3.1754096894528643,2.9662571442445014,2.9153076708004475,3.066576369268061,3.2426384753564097,3.160263476677864,3.172677054307724,3.4180031958231867,3.305579221556293,3.4471295300166904,4.114337691585859,2.793553625232393,3.7188455541493477,2.9789900535865317,2.9934249301620413,2.875755893236518,3.955150546039559,2.9683637112421692,3.398964922255587,2.937147774969784,3.2126470326225087,4.686921000717768,3.2035902612406124,3.613987941266492,2.7268129059926163,2.8966163494586366,3.724900331133141,3.4132256826523135,4.181052819796058,3.4002750449561105,3.0365726009912053,3.2858660468771874,2.9686996552511093,3.215487579146779,3.3285758574259208,3.2350096707898692,3.075441792856699,3.0907587745975853,3.6713650531562525,2.7167035181533876,2.9370113676655762,3.3277984379000785,2.841086489233597,2.8468680867133207,2.96099972136969,2.803554120609504,2.939731647625755,3.420443902715615,0.4463519648671234
N/S,1.4068202,1.388518,1.4403934,1.4397126,1.4500496,1.4460788,1.4314591,1.4603248,1.4534364,1.4321078,1.4491603,1.4328436,1.4412274,1.4726489,1.4532201,1.457532,1.4590478,1.4676106,1.472042,1.4725754,1.4712378,1.456659,1.4662843,1.4198334,1.4718388,1.4726906,1.4869986,1.4835277,1.4898349,1.4880538,1.5170387,1.5270131,1.5005124,1.5024377,1.3986582,1.5149748,1.5062788,1.5246394,1.5307215,1.522358,1.5237674,1.5265777,1.5256362,1.545376,1.5450492,1.4409513,1.5546237,1.6025147,1.6049592,1.5404551,1.5304052,1.5330454,1.5395205,1.5532476,1.5728168,1.5963312,1.3801774,1.5886503,1.5962023,1.597638,1.5658897,1.5425196,1.5358348,1.5496666,1.5881393,1.5903131,1.6109962,1.4295503,1.647273,1.6369276,1.6281868,1.6544715,1.6531616,1.6492776,1.6439421,1.621693,1.6035316,1.570807,1.4406027,1.544724,1.56326,1.5962489,1.6163906,1.6496166,1.6547139,1.6522826,1.6652302,1.6354367,1.635029,1.451524,1.5809871,1.5731821,1.5028434,1.5208013,1.4913116,1.4719079,1.5265064
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T85
