NSA,-13.238780957295875,-13.26665733872491,-13.027377823387834,-13.080334183767139,-13.442125489068001,-12.573335619852152,-14.107727131964772,-12.71610521942616,-12.264812606734958,-12.363576075972391,-12.702393708774704,-12.412347110595777,-13.363984911842465,-13.085750209585518,-12.267215688990015,-12.603215817886547,-11.978684941550929,-12.315444959818647,-12.781458378840272,-12.142406552382331,-12.17411109914253,-12.28906112696465,-12.07629752372504,-13.070345391328615,-11.536431183655546,-12.626511441175369,-12.307318740399216,-12.356858606314727,-15.951360776914392,-12.749018216760776,-13.116356755017497,-12.248339494295038,-12.842777546896311,-12.724245806301363,-13.380283703597396,-12.752771610785402,-12.903791187060111,-13.5181116147222,-13.017612298583192,-12.741190266347209,-13.001752701196642,-12.457934453097934,-13.46790186117149,-13.26843476776269,-12.960981950147907,-12.978504427650218,-13.684481408169408,-13.642974447770467,-13.521300793041442,-13.430303942699926,-13.050123906102757,-12.534049211696205,-12.862529078133688,-12.643349918365654,-13.518920624459305,-13.587960802088041,-13.207671503758569,-13.12600325967218,-13.346123311967029,-13.953023581745253,-13.752904877733933,-12.789780244700065,-12.790220819728205,-13.060425740782364,-14.01934327666939,-13.049734773756942,-12.995772021574007,-13.453033664326535,-12.87559600350478,-13.340786188514334,-13.557564682477448,-13.380213780024881,-13.280377623186705,-13.03599514151108,-13.342087008714877,-13.322187497159879,-13.245062768610195,-13.15061109512537,-12.968396642358313,-13.260458060646627,-13.185241423272203,-13.357609162443863,-13.649593337760583,-13.158893787144176,-13.356785105963702,-13.029856172046827,-12.930201996170371,-13.12197439746799,-13.428921421637593,-12.763696104113126,-17.194706861772985,-13.197653987106289,-13.276070603517606,-13.000022149315335,-13.315010178173491,-13.274712509883997,-13.086170376833758
Deviation,2.758110344598457,2.7463831921842585,3.843050666639267,2.955699831757475,11.26964106259902,4.604009226755553,21.375431889707666,3.4354753473346147,13.318832633915653,3.834119293857775,4.753439874756592,4.6632210291239105,3.30192721815806,5.974991481076442,4.167371379019424,8.617969021971549,4.640265027884953,8.001696720390441,12.505298664268864,5.559519494340146,4.957430422994817,6.7155563137593015,6.551376028014099,2.819196954214338,8.801285100881657,5.304063723634351,4.959288292592375,6.441679264694416,75.33629752663613,5.4090703680739365,6.328180052952138,18.25577493746045,5.620015677855472,4.87690674508821,4.053795670246883,4.406867902636784,6.9878888037026705,14.938635418912831,6.816001006428722,9.023315518140015,6.11762597957221,8.199191192898889,7.36583795176097,6.877696440505523,5.411831298825686,2.960183093400666,5.127064091250249,4.1974747902494265,3.7169932202840554,4.681294180030011,4.220837982902577,4.117091592101497,4.112530410246891,12.118703129696168,4.422137948721265,6.629185608197354,3.04405358996408,3.9489876937323944,6.0748441973373195,7.230767598491097,4.4493213860259635,3.639121877209309,3.8739439675444074,3.486409382169976,15.881441505448926,4.928921481080408,3.6471743918937256,3.2281889700665873,3.185896152483223,3.304068077363813,5.763449613272316,2.7617126063299025,3.7876428619234517,3.9376779976327527,3.658346266656482,3.7556684535343554,4.114780401778835,3.30905946029022,3.2784479863719898,3.722716723457532,3.8575158029122,3.7577322073270016,3.645266742282951,3.0764342294853466,5.393613592328381,3.11384012557161,2.8323339282048945,2.6955588408513775,2.8291679749546366,3.542598666409071,105.74712849052325,2.7833210315148924,7.991756207790618,2.876612427430172,2.9309349340163697,2.437298540357459,0.6971780302102345
N/S,2.0068564,2.0568864,2.2003145,2.2301834,2.253444,2.2491343,2.3147178,2.2497952,2.2490928,2.299863,2.3205914,2.3317342,2.1025615,2.4205785,2.3996062,2.416732,2.3812156,2.4274096,2.466665,2.4095814,2.4266236,2.4510722,2.4156497,2.0642748,2.38853,2.4495437,2.45126,2.4542398,2.636193,2.468463,2.4815595,2.4346726,2.5035303,2.479082,2.1229448,2.49725,2.5101962,2.5375133,2.5070314,2.486991,2.5197167,2.4851432,2.5479157,2.525038,2.4976978,2.0607572,2.505086,2.4862502,2.4824624,2.5014217,2.4988058,2.455332,2.4815612,2.4461508,2.4789104,2.4584463,2.094063,2.437616,2.4521456,2.474567,2.4930215,2.466974,2.459873,2.450541,2.4535697,2.411012,2.381668,2.2118583,2.3654962,2.4020228,2.3750086,2.326183,2.3184621,2.3072724,2.3793573,2.3822632,2.3914642,2.4120686,2.1705,2.4569564,2.4110243,2.4044921,2.3750784,2.2995548,2.2904377,2.2729237,2.2080543,2.1766002,2.1964755,2.2080336,2.1857445,2.0756981,2.092279,2.0211325,1.9686878,1.9826158,2.356532
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T108
