NSA,-13.198629239929108,-16.701970709266355,-12.657001205772886,-13.94813676105749,-12.357938038654446,-11.862781464298937,-14.974065865456732,-13.164799347685753,-12.601201006866958,-11.133470668125923,-13.749694120687014,-13.505707763868495,-12.19298215203281,-12.804958242458092,-11.723737303637442,-12.3295925503653,-14.579988554177449,-14.382027440380437,-12.271245448891655,-13.252521302469958,-11.694176294747448,-12.682100792737579,-12.049718094302964,-15.57264741025082,-15.41375783101501,-12.970059844123083,-12.34727528281921,-14.100457452428762,-12.34729159504568,-13.665665266295388,-15.567808103937173,-13.520247494299626,-14.353714935207414,-13.569934466455763,-14.153986161922733,-13.993207860181078,-13.400859826788144,-12.776695283710716,-12.816096020595817,-12.820967712171392,-14.684044890510027,-14.48277142847116,-12.654826972798048,-11.105937266545313,-14.518986844977258,-14.281852609934292,-11.34828615468265,-12.228663342846357,-12.817637314400537,-12.61560661980939,-13.085280382527019,-14.592791028616569,-13.259072251313519,-13.763537699959151,-14.884805260146477,-11.696407419328393,-12.04179539992696,-15.865767626788461,-11.790975663206016,-12.765504957844737,-12.814478991628024,-14.35083637533487,-13.325150025738457,-12.405069328894438,-14.020081259353137,-12.579997504575513,-13.515839482881402,-11.540126786620275,-11.231186078485575,-12.137116862910693,-13.238435651186366,-13.950764712002655,-11.954831480090697,-12.559725693431583,-12.499343125049196,-15.526883040952328,-14.266450069236212,-14.76386283486913,-11.622822869773913,-14.224224263462167,-14.202034712089715,-13.091365789069664,-15.081039735174294,-13.269109176823626,-11.317833238477952,-15.618636649405897,-15.024466789436724,-12.602236385993026,-11.502087757451617,-19.857932373646634,-13.387440445145636,-11.219640819768474,-14.969715231231906,-13.001860988745975,-14.337630942309076,-16.189589760356963,-13.38430745084745
Deviation,1.1122150529116728,1.9461840339815542,3.3037995696786187,1.1625747314696022,1.448089331313841,1.4270129791013635,1.5095943771887501,2.8677232733200304,1.3020604377512441,1.951790053687632,1.7340366401953944,1.068475285168391,4.388940736329307,1.5798184442313776,2.4873983565258286,2.352128722073304,2.097625700831919,2.845146887587872,3.484364461285175,3.175430635064041,2.2709392242652524,2.154939471215192,3.514339627100286,1.8124843593614715,1.306120256535083,1.3013601435239899,1.4752428939219884,2.441914936856887,2.1673410603021654,3.028634671092266,1.465345759501008,3.8208014166296476,3.006713078563492,3.689801520231239,2.09426152957005,3.5854631746959846,2.7113377323394565,1.780594711608344,3.3472178351148534,2.5920684608545463,1.746226974877694,2.6238796274329053,3.113991998355152,2.9494095442568473,3.490431521413936,1.146123015362468,2.7435774195734832,3.4914476194617228,2.110446047369527,3.0864353448907407,3.902708613730718,2.5670098427481114,3.369252639906286,3.086741578716288,1.5587819429996268,2.2952434948245735,1.1430619109238869,1.7319599160379504,1.7247697963778994,1.742197989525609,3.452909143709046,3.2298119822768605,3.0347845267823135,3.0198550785285576,1.0086032656945367,3.032097635160108,1.7152619072658193,1.923091672565746,2.6416005124988087,4.35093637526924,3.3120570509401817,2.5640305773049343,1.797282985276707,1.6068257667976844,3.017816347761423,1.1570045298433935,2.9479339843454784,3.123795145807954,3.6590808215257877,3.1043767995553893,2.875752216777993,2.582730385245212,1.429777251166433,3.037121026390218,1.9345530198971415,1.4347982931637775,7.118883030209307,1.3608133355745065,2.973318051266327,6.670851140858718,4.17857067442108,2.2448031834540005,1.0334049300632426,3.1796402080389505,2.575551957532269,1.5312914809171545,1.4363047233863944
N/S,1.5303442,1.6168445,1.7543533,1.7481896,1.7740314,1.7687019,1.8600479,1.8354458,1.8583606,1.8141621,1.93371,1.9947293,1.5611676,1.9982401,1.9944034,1.9876816,2.085391,2.0888436,2.0519989,2.0666287,2.0540383,2.0873177,2.0476162,1.6768589,2.1647782,2.0896924,2.0827746,2.1383593,2.0385265,2.1294088,2.132589,2.0307002,2.1405673,2.1528869,1.6549698,2.1653354,2.1066136,2.0789714,2.046148,2.0758104,2.1677446,2.116085,2.0826285,1.940816,2.05115,1.6630303,1.8981398,1.7890109,1.7833942,1.9319038,2.0263696,2.088113,1.978188,1.975527,1.9518069,1.7958217,1.569734,1.8597418,1.7342471,1.7668623,1.8597554,1.9839345,1.9879652,1.8990762,1.7722311,1.804209,1.6982548,1.6602576,1.5939685,1.6287634,1.6282647,1.531243,1.5032917,1.553966,1.625527,1.700285,1.7557169,1.8880273,1.6939223,1.9353445,1.8790497,1.7564722,1.7099248,1.5667611,1.5263852,1.5665904,1.5120945,1.4505075,1.4263537,1.8807839,1.4211041,1.4344541,1.3988965,1.4159997,1.4365809,1.6060457,1.8362455
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T114
