NSA,-13.296367560382036,-12.570275580716904,-12.823551508819623,-12.559793557046754,-12.329665402328645,-12.940683412761521,-12.822566257343397,-13.155540234224802,-12.639418373857497,-12.356224704232295,-12.745079504722852,-12.428610374194177,-12.877909149098134,-12.425002239905425,-12.515342396119557,-12.425106674364361,-12.394685274605338,-12.06868951519401,-12.34606237376048,-12.215384261508461,-12.127666299010064,-12.2661743814611,-12.195446422823155,-12.268629593234033,-12.12085198786909,-12.253984961708948,-12.307788679261076,-12.368019526531047,-12.110285223687525,-12.38674360581584,-12.46316759593994,-12.347702388034511,-12.493506421290084,-12.393625311653357,-12.504742382351395,-12.60477613058787,-12.934841072839804,-12.73453163909799,-12.96238659640408,-12.964215917443953,-12.902144555799378,-13.108026663176764,-13.288683970200795,-13.454007453766756,-13.210556737801511,-13.295445080251364,-13.562115505861811,-13.622546188784844,-12.574557068537853,-13.51087810132104,-12.58834528075544,-12.671831422667742,-12.086978673926872,-12.760690546698417,-13.306272469774438,-13.445779302464988,-13.098825375747865,-12.838448039585709,-12.262345482026385,-12.352115953509212,-11.97369159731339,-12.096018727807639,-12.333636072528048,-12.898548370414062,-13.328964881968767,-13.067714782553946,-13.533421089706383,-12.477411905023992,-12.062830793383624,-12.035053502182025,-12.411551112922746,-12.544899169398711,-12.219583258950449,-11.8128885273467,-11.965105534845527,-11.974529518110714,-12.410330056279243,-12.466758507555003,-12.180210870023188,-12.818387015046184,-13.389803678182654,-13.446165153413732,-13.073688808045143,-12.579488343516948,-11.880674804382787,-11.881986192979518,-11.67941100346356,-12.044007144711356,-11.87240634813436,-12.184014068303627,-12.342453129245804,-12.874648452498786,-12.326460026657767,-12.45495106831574,-12.459498512736442,-13.041022537984482,-12.591956801362741
Deviation,3.2845402499738965,3.8112088417854277,2.9163244178585406,3.400572776687413,3.138830183219364,3.729066114625975,3.3938617761441816,3.4705905806269204,3.028569989678767,3.2821677284406516,2.991449296667077,3.267741916595355,2.970162712085426,3.1475196808439554,3.0265997213560087,2.941136982990569,3.112507645522124,3.2741696296106406,3.1806333760483794,3.316921079577302,3.258979029447767,3.164388354034456,3.2190872264370367,3.124502381498199,3.0029491608212657,2.9625097459791676,2.9335255411899657,3.138849781520363,3.1113823824367857,3.0697137038577806,2.9652359545213747,3.097643483241796,3.114906746116656,3.0988477746900642,3.1773910402154715,3.0700725178720014,3.3970944537371595,3.3332773052291227,2.8570655834001135,3.51543212661627,3.1914780715297293,3.050257276278394,3.4836196214779793,3.40452426317016,3.387340679473544,3.3164788074400486,3.270605507241332,3.3678317250951118,3.568186875778336,3.6466922220215943,3.5898723945487934,3.158091241871466,2.9805096487325886,3.4922230244889145,3.6515305512658314,3.6490681173832322,3.8470325553591143,3.373129965045651,3.4273927783211002,3.2481216374877975,2.9827680925968374,3.217364450901013,3.408648858707846,3.7012298637478103,3.7677814746120575,3.6839063668803878,3.850709306336569,3.247195692497219,3.5363588643834887,2.9292115382515713,3.105112030674744,3.0018272230808085,3.5515889621116195,3.025140683296357,2.8401507957630283,2.8160125704164978,2.8802676325831413,3.292596315794962,4.728992258347655,3.8984578223186426,3.6204983474555017,3.974201643969135,4.020212663867972,3.6137843366238442,3.1021953845971715,2.8894397397643345,3.1311797873487244,2.8531250172293543,3.3132450270645446,3.3414869998700674,2.9618716885126983,3.3151325487177608,3.4897524661232913,3.459264310732545,3.5040337533082613,3.759146055918612,0.46578984598726464
N/S,0.9845613,0.97787803,0.9795881,0.97216105,0.9692231,0.9724519,0.9807624,0.96373856,0.9592373,0.95632076,0.96104157,0.95567995,0.9571017,0.9504931,0.94604695,0.9467641,0.948493,0.94887,0.9494248,0.94937176,0.95204216,0.9552836,0.9585483,0.9621488,0.96698445,0.9733963,0.987776,0.9853771,0.98871136,0.9954282,1.0044367,1.0114535,1.0138673,1.0196168,1.0278499,1.0359623,1.0623466,1.0784655,1.0632058,1.0657452,1.0726627,1.078185,1.08693,1.0980093,1.0922672,1.0918019,1.1011004,1.104662,1.1059622,1.1117716,1.1121312,1.1575456,1.1575888,1.1226478,1.1170068,1.1217206,1.1244311,1.1274428,1.1273793,1.1409081,1.1384852,1.1472592,1.1413709,1.1331792,1.1284667,1.1281826,1.1296786,1.1402423,1.136773,1.1534094,1.1979312,1.173988,1.170863,1.2378287,1.2444508,1.2279913,1.1664737,1.1451057,1.1341128,1.1321034,1.130696,1.1291157,1.1294276,1.1357309,1.1783198,1.1997683,1.1938381,1.2257315,1.2245904,1.2128189,1.2125903,1.1779625,1.1753939,1.1472893,1.1170908,1.1103983,1.0781112
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T62
