flyby_url,flyby_index,flyby_cassini_mission,flyby_date,flyby_altitude,flyby_cube_quantity,flyby_sequence,flyby_revolution
https://vims.univ-nantes.fr/flyby/163TI,163TI,Solstice,2012-03-20,n/a,35,S72,163
https://vims.univ-nantes.fr/flyby/164TI,164TI,Solstice,2012-04-14,995034 km,38,S73,164
https://vims.univ-nantes.fr/flyby/165TI,165TI,Solstice,2012-05-06,699949 km,34,S73,165
https://vims.univ-nantes.fr/flyby/166TI,T83 | 166TI,Solstice,2012-05-22,955 km,99,S73,166
https://vims.univ-nantes.fr/flyby/167TI,T84 | 167TI,Solstice,2012-06-07,959 km,173,S73,167
https://vims.univ-nantes.fr/flyby/168TI,168TI,Solstice,2012-06-27,458663 km,60,S74,168
https://vims.univ-nantes.fr/flyby/169TI,T85 | 169TI,Solstice,2012-07-24,1012 km,401,S74,169
https://vims.univ-nantes.fr/flyby/170TI,170TI,Solstice,2012-08-19,n/a,8,S74,170
https://vims.univ-nantes.fr/flyby/171TI,171TI,Solstice,2012-09-02,784736 km,28,S75,171
https://vims.univ-nantes.fr/flyby/172TI,T86 | 172TI,Solstice,2012-09-26,956 km,327,S75,172
https://vims.univ-nantes.fr/flyby/173TI,173TI,Solstice,2012-10-06,n/a,8,S75,173
https://vims.univ-nantes.fr/flyby/174TI,T87 | 174TI,Solstice,2012-11-13,973 km,60,S76,174
https://vims.univ-nantes.fr/flyby/175TI,T88 | 175TI,Solstice,2012-11-29,1014 km,505,S76,175
https://vims.univ-nantes.fr/flyby/176TI,176TI,Solstice,2012-12-15,899666 km,30,S76,176
https://vims.univ-nantes.fr/flyby/177TI,177TI,Solstice,2012-12-22,714543 km,11,S76,177
https://vims.univ-nantes.fr/flyby/178TI,178TI,Solstice,2013-01-05,n/a,6,S76,178
https://vims.univ-nantes.fr/flyby/181TI,T89 | 181TI,Solstice,2013-02-17,1978 km,153,S77,181
https://vims.univ-nantes.fr/flyby/182TI,182TI,Solstice,2013-02-25,707386 km,49,S77,182
https://vims.univ-nantes.fr/flyby/183TI,183TI,Solstice,2013-03-13,n/a,13,S77,183
https://vims.univ-nantes.fr/flyby/184TI,184TI,Solstice,2013-03-19,n/a,6,S77,184
https://vims.univ-nantes.fr/flyby/185TI,T90 | 185TI,Solstice,2013-04-05,1400 km,304,S78,185
https://vims.univ-nantes.fr/flyby/186TI,186TI,Solstice,2013-04-12,939362 km,59,S78,186
https://vims.univ-nantes.fr/flyby/187TI,187TI,Solstice,2013-04-22,n/a,6,S78,187
