NSA,-12.29458961614011,-12.218439041830676,-12.195929743122434,-11.659021317432895,-11.776593427697804,-11.858937304719372,-11.700811006710003,-12.214150093779482,-11.96390415522654,-12.342882410954102,-12.172248859700016,-11.673160286381917,-12.08377464156113,-12.399672648624817,-12.328085447172045,-12.370408446548485,-12.121001298793193,-12.221032897351215,-12.161843935555558,-12.077445056160673,-12.372020712014663,-12.16587080188182,-12.217736351519235,-12.243491568669116,-12.216807606722224,-12.36123408994085,-12.430185991512259,-12.221489846381123,-12.308503842160073,-12.277307826097747,-12.298207058519765,-12.29005394044429,-12.322374102226032,-12.343527453163007,-12.410545367776047,-12.358402093453918,-12.201371327389992,-12.248363285444192,-12.555963931484474,-12.379349443000432,-12.65092312382486,-12.615042173464738,-12.682973967070287,-12.525003292357269,-12.836999416605645,-12.765390204926652,-12.793759769185673,-12.576476846139679,-12.231847306332858,-11.946902575617028,-12.253190723937193,-11.785885736955581,-12.262922231092666,-12.157502760425887,-12.70632332225784,-12.389820845489352,-12.39333473166164,-12.091884366495448,-12.003847126146741,-11.481628925565037,-11.765895038413703,-11.634258110777829,-11.662986194116444,-12.38531261175836,-12.534231659745743,-12.383628255679012,-12.338348111632175,-11.505727998481154,-11.798439036976411,-11.459184601944386,-11.696986944529568,-11.744943391574123,-11.316951311545507,-11.515057520619381,-12.100034386461575,-11.79540764219453,-11.735305692951556,-11.758025184185058,-11.57296691407074,-11.869777957918108,-12.224197423284204,-11.799206909979603,-11.500982529463045,-11.590867510736494,-11.446502547332218,-11.299002028300789,-11.977903540840966,-11.629276874563496,-11.543047507874336,-11.88249890557832,-11.873957080329996,-12.062025081924753,-11.653063262250907,-11.76126560983589,-11.828159706555653,-11.769508086846836,-12.07940969679259
Deviation,3.472895310976609,3.019712015699954,3.065628336717737,3.2224003163315644,3.3190071115260547,2.9812989016366007,3.510310536938502,3.175908068078873,2.7199536889305045,2.8605136724247417,2.595066703036014,2.8779674254538343,2.6491446756202124,2.773633999986009,2.7108832020686724,2.5506389584067612,3.046441063634349,2.58500217826014,2.711397496009,2.960806262401544,2.6153258513696254,2.8509728814371775,2.6445574963099165,2.6885168090665568,2.6561853344073385,2.5945332336970743,2.7301041193740914,2.772993974940341,2.66468795697116,2.7985988182879584,2.6455099017570194,2.785153386169963,2.6552659135678107,2.7160576671420498,2.8586815012958335,2.775559636687645,2.9147621299450783,2.9199986395805744,2.69299430032591,2.914830446969849,2.6540859251552726,2.856312409705361,2.987453914804305,3.0701327294585536,2.8340641031991978,2.7981723966750023,2.891563101576389,2.957180248037247,3.2818396715345073,3.480808784525815,3.2053827828115082,2.744148441672097,2.8239100163465,3.2752633164967455,3.3469380504551194,3.2896915494602874,3.2803042224649683,3.211647780684262,3.077850283666952,2.940739195695827,2.960045806999033,2.7847246200213847,2.909968819698786,3.388298934348548,3.4821800124133784,3.4409606845337524,3.633347929484868,2.6740959148215038,3.2441552028582885,2.677504194562345,2.7419693247037493,2.6270198045437874,2.866209129884799,2.91757150722409,2.753112071662268,2.9499133164094253,2.9410561972467026,2.801576329733565,3.2947837301948715,3.5976910660915715,3.725647690986597,3.6789542952034564,3.13604422709537,3.380937303781286,2.9921521314947017,3.217215858891456,3.143733775939672,3.068488890293521,3.097796562488051,3.009441899252565,2.986072972173139,2.925721385333608,3.1033935717069707,3.4180644839080685,3.450716023500698,3.1333168222364134,0.3629978817168551
N/S,1.0632399,1.1258106,1.0647665,1.076062,1.0468739,1.0805824,1.0632423,1.0737646,1.0345052,1.04022,1.0655551,1.0855981,1.0840286,1.0741516,1.0585133,1.0524884,1.0592915,1.0683657,1.0651929,1.0763289,1.0723993,1.0728029,1.0728989,1.0901307,1.0635724,1.0741588,1.071036,1.0987688,1.0910571,1.0848292,1.084281,1.1061829,1.1069617,1.1003864,1.1044755,1.1033365,1.108099,1.142516,1.1252248,1.1466069,1.1474962,1.1505004,1.195585,1.1995946,1.1784493,1.181801,1.1842899,1.2973503,1.2415612,1.2246437,1.217952,1.2047266,1.185001,1.2454711,1.2335491,1.2333412,1.2489362,1.242338,1.2459176,1.2124504,1.1969172,1.2168795,1.2179126,1.1918166,1.20434,1.2129439,1.2121527,1.2342426,1.2188305,1.224991,1.269026,1.2499633,1.218009,1.2555838,1.2282026,1.2511146,1.244864,1.204589,1.2849876,1.279288,1.287811,1.2731996,1.235223,1.2287496,1.2417202,1.2600275,1.2433267,1.2988664,1.2927209,1.2792828,1.2587306,1.2423348,1.2274209,1.2251815,1.2345355,1.2297044,1.1690078
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T67
