NSA,-12.102577221302031,-11.915238657162037,-12.13746018313129,-11.886569389362654,-12.219712361816885,-11.626163709483157,-12.288083684683205,-12.184773146886668,-11.546854401111666,-11.70827791592929,-12.103427746641445,-12.0795267638425,-12.660496135766902,-12.029436565943387,-11.806658185870626,-11.973398659125749,-11.744735465947274,-11.412099928739801,-11.827471150591537,-11.934917508296106,-11.465990579247613,-11.510680639431527,-11.427208198856574,-11.486721730046035,-11.273120276754115,-11.459080922379862,-11.450491704756931,-11.71574393758627,-11.769082774205422,-11.381391211871545,-11.687716779482972,-11.854026571423283,-11.528366819324765,-11.674461359643203,-11.643085123065084,-12.114407313430027,-11.579495224445317,-11.835336914005525,-11.639433949323006,-11.794700134019417,-11.801153090462,-11.96191020840699,-12.212645316417797,-12.147244892922696,-12.247077157886071,-12.422991079209062,-12.422737260855259,-12.467350423985941,-12.28008941995418,-12.16284115688573,-11.962541669888491,-11.777008458251881,-11.56501417745126,-12.182791012200424,-12.369119890920503,-12.408205644142406,-12.448196494352,-12.11681574445211,-11.949141295967669,-11.502234534006334,-11.522744463221326,-11.395860903283276,-11.367811132077982,-12.176700715810524,-12.370380644489773,-12.347041604889075,-12.173399191898788,-10.992320945012303,-11.447139016918698,-11.251092464630563,-11.764658812325868,-11.607564676651874,-11.348116754844593,-11.42366831211946,-11.372103702691609,-11.714046363883691,-11.120346769933052,-11.366130537607324,-11.922328533785688,-11.981135591825854,-12.145433186041927,-12.110220402045988,-11.794955300967073,-11.484607222231173,-11.362760243687363,-11.243090026936613,-11.290997223167274,-11.548967629955227,-11.829670391585907,-11.669263759532798,-12.095746801819987,-12.213152959318617,-12.207815547094132,-12.169773755808048,-12.066798924203916,-12.402150002077283,-11.835265879040898
Deviation,2.8681988686209956,2.9262797367676128,2.6947641662938238,3.1363926202300574,2.8958485630508766,2.7517597905981277,2.9137224332120923,2.697676026397155,3.104679944729694,2.9046497407810303,3.2679185273278017,2.9221554153332483,2.712875981561706,3.2309940637748045,3.343803732617469,2.9421808129508897,3.1749448387459274,3.118159709732329,2.8258108265294672,2.658134345828044,3.131675360746918,3.038934000726584,3.090086406643709,3.1442434091660623,3.0631019930470127,3.0442829431262717,3.2707900610738894,3.0444761094746706,3.064109376096353,3.456762190963739,3.330472535020919,3.027174815318115,3.249469101709235,3.2977583216900253,3.3471766124494073,3.4206353021046554,2.9780576665381755,3.1366354096043136,3.0074753434591117,3.2239700205577373,2.9149154448495858,2.7837196794315004,2.928967468992176,2.6752411911623355,3.2469663577263455,3.128164375465591,3.0733411580722017,2.8041991367352836,2.772249134345402,3.4510954508026654,3.073031696828739,3.1524307776258667,2.767100325581388,2.739386043431451,3.132583807068751,3.207135141253951,3.28669372291279,3.1525893263516416,3.057163287760473,2.958881097193387,3.0331817448729854,2.874376670408031,2.86687898626193,3.3192026931979415,3.3389287215024255,3.622196208465672,3.308379701712471,3.397351499840876,3.1462231197231043,3.0792145623572695,3.139158174234544,3.0666216837923197,3.418844409868009,2.848651533661077,3.241129659326278,2.9223892838985224,3.3083127449831564,3.2426993166258544,3.2631575474802372,3.4720344010879325,3.4350694290173416,3.1947146925983168,3.176496478365754,3.1025823864321715,3.210516300108459,2.8007335872040637,3.2758398605085337,3.0812069245235354,3.1316269695492984,3.3103099751674168,2.9395340445243163,3.4137331622704443,2.9944039095010946,3.433025768508886,2.872620811089593,3.0055360929501576,0.3660468963166124
N/S,1.1464846,1.1361874,1.092893,1.1213567,1.0980455,1.1085817,1.1056144,1.112848,1.10509,1.1076647,1.1193151,1.1234205,1.1169037,1.1042674,1.0646539,1.1166211,1.111219,1.1185734,1.1182566,1.1096822,1.1355482,1.1358304,1.1361,1.154861,1.1502596,1.158742,1.1618204,1.1748844,1.1707386,1.1683838,1.1757978,1.1740549,1.1925539,1.1862684,1.1936543,1.1947881,1.2198335,1.2118925,1.218125,1.213794,1.2313831,1.2322608,1.2240305,1.2401452,1.2338487,1.2307534,1.2404773,1.2471561,1.2520142,1.2606343,1.2689725,1.2742305,1.2864553,1.2727224,1.2703631,1.2723123,1.2740091,1.2870933,1.2865957,1.3034308,1.3038366,1.299772,1.3045821,1.2947863,1.295327,1.3007563,1.3199954,1.3232386,1.320835,1.3159866,1.3175398,1.3423404,1.3402824,1.3105329,1.303357,1.3366963,1.3413248,1.3238099,1.3289813,1.3386556,1.3545462,1.3430741,1.3305237,1.341228,1.3355258,1.3702317,1.3416975,1.3589352,1.3184944,1.3461117,1.3369769,1.3348466,1.3188509,1.3532094,1.28177,1.2393637,1.2356513
File Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,T61
